0.000000000000000000e+00,6.257391721010208130e-02,6.149188169268256926e-02
1.000000000000000000e+00,2.842248976230621338e-02,2.821025455492727832e-02
2.000000000000000000e+00,2.561338804662227631e-02,2.428826515169206154e-02
3.000000000000000000e+00,2.324592322111129761e-02,2.263525610129080504e-02
4.000000000000000000e+00,2.274028956890106201e-02,2.183419269408208921e-02
5.000000000000000000e+00,2.067400887608528137e-02,2.142316167802184312e-02
6.000000000000000000e+00,2.232331596314907074e-02,2.119833320228350915e-02
7.000000000000000000e+00,2.125708572566509247e-02,2.104830877877829354e-02
8.000000000000000000e+00,2.185050025582313538e-02,2.086169223942977921e-02
9.000000000000000000e+00,2.141226269304752350e-02,2.037441676251455780e-02
1.000000000000000000e+01,2.083791233599185944e-02,1.966316543800035455e-02
1.100000000000000000e+01,2.021576836705207825e-02,1.911409045310379778e-02
1.200000000000000000e+01,1.878248155117034912e-02,1.860751582568350923e-02
1.300000000000000000e+01,1.920369267463684082e-02,1.824745922681355464e-02
1.400000000000000000e+01,1.711605489253997803e-02,1.780643687844238668e-02
1.500000000000000000e+01,1.812976226210594177e-02,1.714529583168720311e-02
1.600000000000000000e+01,1.596224121749401093e-02,1.635365859816359166e-02
1.700000000000000000e+01,1.548881735652685165e-02,1.527426465120464670e-02
1.800000000000000000e+01,1.510588917881250381e-02,1.439582407265142285e-02
1.900000000000000000e+01,1.445516571402549744e-02,1.375512798239037285e-02
2.000000000000000000e+01,1.383255049586296082e-02,1.326624491408425442e-02
2.100000000000000000e+01,1.336788851767778397e-02,1.279450908228064142e-02
2.200000000000000000e+01,1.246146019548177719e-02,1.233104178194023744e-02
2.300000000000000000e+01,1.226286590099334717e-02,1.185929279490628534e-02
2.400000000000000000e+01,1.116794534027576447e-02,1.130441294796116075e-02
2.500000000000000000e+01,1.120947953313589096e-02,1.074362884511658942e-02
2.600000000000000000e+01,1.034713443368673325e-02,1.017407683342545256e-02
2.700000000000000000e+01,9.622671641409397125e-03,9.597354070601759463e-03
2.800000000000000000e+01,9.016335010528564453e-03,9.026548009584287047e-03
2.900000000000000000e+01,8.397357538342475891e-03,8.475745755628464120e-03
3.000000000000000000e+01,8.213721215724945068e-03,7.965396248160385925e-03
3.100000000000000000e+01,7.374146487563848495e-03,7.496450142710062506e-03
3.200000000000000000e+01,7.534834090620279312e-03,6.987874667246898180e-03
3.300000000000000000e+01,6.567047443240880966e-03,6.391999490862543959e-03
3.400000000000000000e+01,5.738107953220605850e-03,5.807535293858206819e-03
3.500000000000000000e+01,5.564162507653236389e-03,5.364564751989648987e-03
